path;data;extension;date;length;length_after_html_drop;@userName;hashtag;URLs;emoticon;emoji;length_after_cleaning_text;language;interjection;target
tests2/youtube-uci-ml/_ham_/z12afxix2xnyhxaon04ccdtofrj3h10ygrk0k.ytbid;best song ever!!!!;ytbid;Thu May 28 00:10:57 CEST 2015;18;18; ; ; ; ; ;18;no; ;ham
tests2/youtube-uci-ml/_ham_/z12ogdfjckevwjtz504chrzytqeqthybckw0k.ytbid;wowwwwwwwwwwwwwwwwwwwwwwwwwwwwww;ytbid;Wed May 27 21:47:16 CEST 2015;32;32; ; ; ; ; ;32;ht; ;ham
tests2/youtube-uci-ml/_ham_/z13rcnlyamexujnf022vcrb5qouetpjz404.ytbid;shuffle;ytbid;Thu May 28 09:58:11 CEST 2015;7;7; ; ; ; ; ;7;cy; ;ham
tests2/youtube-uci-ml/_ham_/z133yfmjdur4dvyjr04ceh2osl2fvngrqi4.ytbid;wow  video    billion views!      popular ;ytbid;Fri May 29 02:27:30 CEST 2015;73;73; ; ; ; ; ;73;en;wow -- this -- so -- ;ham
tests2/youtube-uci-ml/_ham_/z13osblxvrj0ibtcn22cjjzguw31d5534.ytbid;katy perry  awesome;ytbid;Fri Oct 10 00:17:15 CEST 2014;21;21; ; ; ; ; ;21;af; ;ham
tests2/youtube-uci-ml/_ham_/z13idnfjpl3njhnyv04ccfuzwsryhpcbkjg.ytbid;  tiger called 'katty purry'?;ytbid;Mon Oct 13 11:58:23 CEST 2014;35;35; ; ; ; ; ;35;en; ;ham
tests2/youtube-uci-ml/_ham_/z12zttujlvi5iptyo04cfnyq4rqeip0bpt40k.ytbid;     rid   completely useless makeup.;ytbid;Sun Sep 21 00:11:39 CEST 2014;61;61; ; ; ; ; ;61;en; ;ham
tests2/youtube-uci-ml/_ham_/z124elbgazqmuhvs5230ut14uta5irenh.ytbid;   video  2,127,322,484 views     7 million people  earth?;ytbid;Sat Nov 08 09:32:14 CET 2014;89;89; ; ; ; ; ;89;en;this -- there -- how -- ;ham
tests2/youtube-uci-ml/_ham_/z13pfdriymyhzlhwu04chlfgtprmdfbitzs0k.ytbid; pleasant  hear, haha, good.;ytbid;Thu May 21 13:35:28 CEST 2015;34;34; ; ; ; ; ;34;en;haha -- good -- ;ham
tests2/youtube-uci-ml/_ham_/z13lfhwrjweyxzs4c04cgxwywsvyw3zhexg0k.ytbid;why sooooo many downs?;ytbid;Sun May 24 03:28:34 CEST 2015;22;22; ; ; ; ; ;22;so; ;ham
tests2/youtube-uci-ml/_ham_/z13sjlb4rrjmdd2tl23cidlblkizefxvx.ytbid;2015i like video;ytbid;Sat May 23 19:59:07 CEST 2015;17;17; ; ; ; ; ;17;et; ;ham
tests2/youtube-uci-ml/_ham_/z12qv3vybobijlzot04cjvqwxrnvvlzrs50.ytbid;  1billion views, holy moly.!!!;ytbid;Sat May 23 03:13:15 CEST 2015;41;41; ; ; ; ; ;41;en; ;ham
tests2/youtube-uci-ml/_ham_/z12nfn4yazrphtzwi04cchahoxqlvtc4mvk0k.ytbid;  katys birthday! october 25thlets  happy birthday  katy!!! ;ytbid;Sun Sep 14 10:47:10 CEST 2014;81;81; ; ; ; ;♥♥♥♥♥♥;75;en;say -- happy birthday -- ;ham
tests2/youtube-uci-ml/_ham_/z12ji3wbxwivep2zu04cglfrtxvdg3dwzzc0k.ytbid;   song     animals     song .;ytbid;Fri Nov 07 21:02:30 CET 2014;66;66; ; ; ; ; ;66;en;this -- like -- ;ham
tests2/youtube-uci-ml/_ham_/z125ef44tkipszbsq22firvzrwqpi3qdd.ytbid;i like it;ytbid;Mon May 25 04:30:30 CEST 2015;9;9; ; ; ; ; ;9;sq; ;ham
tests2/youtube-uci-ml/_ham_/z13wj1pgwlfjjjn4d04cilo5nwnhsbdavzg0k.ytbid;loool nice song funny    understands (me)   love ;ytbid;Fri Nov 07 20:16:51 CET 2014;64;64; ; ; ; ; ;64;en;nice -- how -- ;ham
tests2/youtube-uci-ml/_ham_/z13suboizyjhsvsg004cj3iypry3hjewpss0k.ytbid;wait  saw  kid not kidding;ytbid;Sun May 17 22:07:42 CEST 2015;28;28; ; ; ; ; ;28;de; ;ham
tests2/youtube-uci-ml/_ham_/z122dfb5htjxgpbot04cdj1aikatybbjsb0.ytbid;it's so funny it's awesomeness lol aaaaaaa sexy lada;ytbid;Fri Nov 07 04:48:01 CET 2014;54;54; ; ; ; ;😂;52;so; ;ham
tests2/youtube-uci-ml/_ham_/z12ujdnhpwroej3rd04cgrlguunjdnfwmkc0k.ytbid;we go for 1,000,000,000 for eminem;ytbid;Thu May 28 12:47:37 CEST 2015;34;34; ; ; ; ; ;34;de; ;ham
tests2/youtube-uci-ml/_ham_/z13mhf4b5pqigtmgp04cf3korzytgzwqwsg0k.ytbid;katy perry songs   bad ;ytbid;Wed Oct 01 00:41:58 CEST 2014;33;33; ; ; ; ; ;33;en; ;ham
tests2/youtube-uci-ml/_ham_/z122sdu5jnnwsr0kf23aghaz5rnkijtkl.ytbid;  hear katy singing ,  cry.  song   depth.;ytbid;Wed Oct 29 09:46:20 CET 2014;61;61; ; ; ; ; ;61;en;when -- this -- ;ham
tests2/youtube-uci-ml/_ham_/z13cyndpyk2vefcyo04ce1ib5wrbxjqxuvk0k.ytbid;  108k people dislike  song  video;ytbid;Sun May 24 04:55:10 CEST 2015;48;48; ; ; ; ; ;48;en;this -- how -- ;ham
tests2/youtube-uci-ml/_ham_/z13eenia5rqwhvmyw04cgt441wapvbkakzo0k.ytbid;hi  am from bangladesh ;ytbid;Thu May 21 19:24:19 CEST 2015;26;26; ; ; ; ;💜;24;sv; ;ham
tests2/youtube-uci-ml/_ham_/z12xe1uw2sv3i1dm322nhrcazuitt3cjv04.ytbid;   sheep, period.   terrible music.;ytbid;Wed Sep 24 15:45:16 CEST 2014;50;50; ; ; ; ; ;50;en;this -- period -- ;ham
tests2/youtube-uci-ml/_ham_/z12ntlcqht2bvjewi04cf1up0xjvs5lq3mc0k.ytbid; checking  views;ytbid;Sun Dec 01 04:51:52 CET 2013;23;23; ; ; ; ; ;23;en; ;ham
tests2/youtube-uci-ml/_ham_/z13cwrzyolf1zh4v023ctteams25hldf5.ytbid;   video    nokia phones  survive  plane crash.;ytbid;Fri Aug 29 20:00:20 CEST 2014;73;73; ; ; ; ; ;73;en;this -- thanks -- ;ham
tests2/youtube-uci-ml/_ham_/z12jf1h5lznmuhcuw22ruxdyxp2eh32ch.ytbid;likkee;ytbid;Sat May 23 17:16:34 CEST 2015;6;6; ; ; ; ; ;6;br; ;ham
tests2/youtube-uci-ml/_ham_/z13hcbfavrmgdz5df23nvnewnrbqj31vr.ytbid;  fuck cheats  megan fox;ytbid;Thu May 28 01:13:57 CEST 2015;32;32; ; ; ; ; ;32;en;fuck -- ;ham
tests2/youtube-uci-ml/_ham_/z124hrlillzaw1tpm04cj544rn3ny5zwfmg0k.ytbid;love;ytbid;Tue May 26 09:41:13 CEST 2015;4;4; ; ; ; ; ;4;sl; ;ham
tests2/youtube-uci-ml/_ham_/z13oxduriwbjvd41y235g1k4porjcr2xu04.ytbid; tiger succumbs   beautiful girl ?. male tiger.....????  ha.ha.ha..;ytbid;Sun Oct 19 15:59:26 CEST 2014;81;81; ; ; ; ; ;81;en;why -- ;ham
tests2/youtube-uci-ml/_ham_/z131uxqp3qawzxohf04ce3njbzawyjyhbuw0k.ytbid;  good song;ytbid;Tue May 26 12:13:20 CEST 2015;17;17; ; ; ; ; ;17;en;good -- ;ham
tests2/youtube-uci-ml/_ham_/z12rc1ebfvrmufz5w04ccl2pmt3ih5dymq40k.ytbid;  comment  chuck norrus ovbiously ;ytbid;Tue Jan 21 02:09:22 CET 2014;46;46; ; ; ;:D ; ;44;en; ;ham
tests2/youtube-uci-ml/_ham_/z121i1eqppzph3eod04cixfgwknydnfzq3k.ytbid; guss  song     worst fears  life,      abusive towered   live  him.... ;ytbid;Tue May 26 06:32:15 CEST 2015;115;115; ; ; ; ; ;115;en;this -- ;ham
tests2/youtube-uci-ml/_ham_/z12ittrwwxexxzwve23rehuylwzfcx5rt04.ytbid;great song;ytbid;Thu May 21 21:04:26 CEST 2015;10;10; ; ; ; ; ;10;tl; ;ham
tests2/youtube-uci-ml/_ham_/z13ytrypzmmxwrqsw22hfhf4ivbot5w2q.ytbid;' watching   2014;ytbid;Sat Nov 08 09:17:53 CET 2014;25;25; ; ; ; ; ;25;en;this -- ;ham
tests2/youtube-uci-ml/_ham_/z12kchhgyvetifahq04cez1gdnfhfltxvcg.ytbid; loved  song      teenage years!;ytbid;Thu May 21 01:04:37 CEST 2015;49;49; ; ; ; ; ;49;en;when -- this -- ;ham
tests2/youtube-uci-ml/_ham_/z12gcx5hzkayhbmve23ghd3plt2czf2rp04.ytbid;  mind , '  checking   views    );ytbid;Thu Nov 13 15:20:31 CET 2014;61;61; ; ; ; : ; ;59;en;what the -- what -- not -- ;ham
tests2/youtube-uci-ml/_ham_/z13tv3oqtkz0exqhg04cjfgqlyrgipmou20.ytbid;like;ytbid;Tue May 26 15:53:14 CEST 2015;4;4; ; ; ; ; ;4;af; ;ham
